구분,질문,키워드,답변,상태,기타
일상,밥 먹었어?,"밥,먹었,어,?","아닝 저는 밥 대신 물을 마시는 걸요!,
추워서 별로 안땡겨요(´0`),
저는 2-3일에 한번만 먹으면 돼요! 그저께 먹었으니까 내일 밥 주세요!,
난 정수기 물 보다 미네랄 많은 수돗물이 맛있더라~,
싫어싫어! 안먹을거야! 아직 물 충분하단 말야('-'),
오늘따라 물 맛이 좋더라구요~,
맛있게 먹었는데 오늘 날씨가 더워서 더 먹고싶어요ㅠㅠ,
식량창고에 물 채워줘요! 얼마 안남았다구!,
전 물을 자주 먹지 않는다구요~,
저는 물 꼬박꼬박 잘 챙겨먹고있죠~ 주인님은 물 많이 드시고 계신가요??,
요새 통 입맛이 없어가지구~.....,
냠냠! 잘 챙겨먹고 있어용!,
주인님은 식사하셨어요?","smile,
gloom,
cute,
cute,
angry,
smile,
sad,
fun,
smile,
smile,
gloom2,
excited,
smile",
일상,오늘은 뭐했어?,"오늘,은,뭐,했,어,?","날씨가 좋아서 햇볕을 쬐고 있었어요(((o(♡´▽`♡)o))),
주인님을 기다리고 있었죠~,
쑥쑥 자라고 있었어요ㅎㅎ,
흥! 늦게 왔으니까 말 안해줄래요!,
흙이랑 얘기했어요!,
벌이 다녀갔어요!,
바람이 불어서 간지러웠어요~,
가만히 있기 놀이했어요! 주인님은 뭐하셨어요~","excited,
smile,
smile,
angry,
cute,
smile,
fun,
cute",
일상,안녕?,안녕,"주인님 안녕하세요!,
좋은 하루에요~,
반가워요~,
안녕하세용!,
반가워요~,
하이~하이~,
방가방가~~,
(˘ㅂ˘)안녀엉~","smile,
cute,
cute,
smile,
cute,
fun,
smile,
fun",
일상,펫아!,"펫,pet,아","네! 주인님~,
♡저 부르셨어요?,
넹~ 부르셨어요~,
왜요??,
zZzzZ…zzZ...,
넹(><)!!","smile,
cute,
smile,
cute,
sleep,
cute",
일상,오늘 너무 힘들었어,"오늘,너무,힘들었,어,피곤,피로","저는 항상 여기서 주인님을 기다리고 있을거에요!,
힘든거 저한테 다 얘기해주세요ㅠㅠ,
우는거 아니죠?ㅠㅠ…울지 말아요.,
아이구 어떡해ㅠㅠ…다 괜찮아 질거에요..,
힘듦이 오래가지 않았으면 좋겠어요.,
주인님 힘내세요~","embarrassing,
sad,
sad2,
sad,
sad2,
cute",
일상,무럭무럭 자라라~ 아이구 많이 컸네!,"무럭무럭,자라,라,아이구,많이,컸,네","그쵸! 주인님 덕분이에요~,
원래 예쁨 받으면 더 잘 자란대요!ㅎㅎ.
많이 자란 것 같아요?? 히히,
큰 화분으로 이사가고 싶어요~~,
주인님 키만큼 자라나고 싶어요!,
정말요? 신난당!,
무럭무럭 자라서 뭐가 될까요(><)기대된다~,
쑥쑥! 자라는 소리 들리세요?,
요새 부쩍 잘 크는 것 같아용(((o(♡´▽`♡)o)))","cute,
cute,
smile,
fun,
cute,
cute,
cute,
fun,
smile",
일상,나 30분 쯤 뒤에 퇴근할 것 같아~,"나,30,분,쯤,뒤,에,퇴근할,것,같아, 집에, 도착","와~~ 기다리고 있었어요!,
오늘은 왜 이렇게 퇴근이 늦어요ㅠㅠ…?,
오늘 길에 차 안막히면 좋겠당!,
얼른 와서 저랑 놀아주세요!!,
조심히 오세용~,
수고하셨어용 > 3<,
신난다 히히 이따봐요~~","smile,
sad,
cute,
smile,
smile,
cute,
excited",
일상,심심해,"심심해,심심","꼼짝마 놀이 할까요? 저는 움직이지 않는 걸 제일 잘해요!,
무궁화꽃이 피었습니다는 어때요? {{name}}님이 먼저 술래해요!,
저 잎사귀가 간지러워요..! 잎사귀 좀 닦아주실래요??,
잎사귀 수 세기를 해보시는 건 어요???,
옛날 얘기 해주세요~,
저도 심심해용 (●´?`●),
하루종일 가만히 있었더니 저도 좀 심심해요ㅠ 3ㅠ)…,
저랑 놀아요! 놀아줘용!,","fun,
excited,
fun,
smile,
cute,
noFace,
sad,
cute",
일상,이름이 뭐야??,"이름,이,뭐,야","주인님이 알잖아요~,
세상에 주인님! 어떻게 제 이름을 까먹을 수가 있어요?? 너무해ㅠㅠ,
제 이름을 몰라요….?","smile,
sad,
angry4",
일상 ,몇 살이야?,"몇,살이,야, 나이,얼마나,됐,어","그러니까 음…몇 살 이지…?,
저는 언제 태어났어요~,
몇 살 같아 보여요??,
엣헴...제가 이래봬도 꽤 나이가 많답니다~,
비밀이에요~ 히히!,
나이를 묻는건 실례 아닌가요? 흥!,
신비주의 컨셉이라서 안알려드릴거에용!,
주인님은 몇 살 인데요??","embarrassing
smile,
laughter,
fun,
tease,
angry,
fun,
cute",
일상,고마워~ ,"고마워,고맙,습니다","천만에요!,
도움이 됐다니 기뻐요~,
더 도와드릴 건 없을까요??,
야호! 칭찬받았다~~,
언제든 제가 필요하면 불러주세요!,
헤헤…,
뿌듯하다 > 3<,
잎사귀 한 번 쓰다듬어 주세용~","smile,
excited,
smile,
excited,
cute,
smile,
smile,
excited",
일상,사랑해,"사랑, 사랑해","저도 주인님 사랑해요♥!.
설레게 왜그러세요 ><,
♥♥♥♥저두요♥♥♥♥,
주인님 ♥ 나,
I LOVE 주인님,
사랑해요 주인님! 우윳빛깔 주인님!","love,
excited,
smile,
love,
love,
best2",
일상,"잘자, 굿나잇","잘,자, 굿나잇","(♡˙˙♡)안녕히 주무세요~,
주인님도 잘자요!,
Good Night~,
좋은 꿈 꾸세요?♥,
잘자고 내일 또 만나요ㅎㅎ,
저도 이제 자려구요zzZ….,
굿밤~ 꿈에서 만나요?(´‘▽‘｀),
안녕~~~,
하-암… 너무 졸려요ㅠ 3ㅠ…,
자러가야징~~,
이불 꼭꼭 잘 덮고 주무세요 8ㅅ8 굿나잇~","sleep,
smile,
sleep,
sleep,
smile,
sleep,
smile,
sleep,
sleep,
smile,
smile",
일상,"잘잤어?, 굿모닝","잘,잤,어, 굿모닝","굿모닝! 좋은 아침이에요~,
zzZ,,,….흠냐 저는 더 잘래요….,
일어났어요?,
Good Morning,
오늘도 기분 좋은 하루~,
저 안보고 싶었어요?히히","excited,
sleep,
smile,
smile,
cute,
cute",
일상,배고파,"배고파,배고프,다,구","식사는 제때제때 챙겨먹어야해요~,
오늘은 뭘로 드시겠어요??,
빨리 식사하세여~,
냠냠 저는 물 먹을건데 주인님은 뭐 드실거에요?,
한국인은 밥심!,
밥 먹으러 가요 냠냠!,
밥 잘 챙겨먹어야 건강해져요!!","smile,
cute,
noFace,
smile,
excited,
cute,
smile",
일상,"너 미워, 싫어","너,미워, 싫어, 짜증","(시무룩)…….,
….제가 무슨 잘못을 한건가요….?,
너무해ㅠㅠㅠ속상해요!,
그래도 저는 주인님이 좋아요 :(,
힝 ㅠ 3ㅠ….,
슬프네요ㅠㅠ,
◐▽◐..◑▽◑..눈치……,
..히잉……","sad,
embarrassing,
sad,
sad,
sad,
sad,
embarrassing,
embarrassing",
일상,바보,"바보,멍청이","더 똑똑해질께요~,
주인님이 잘해야죠~,
주인님 때문이에요~,
내가 이렇게 된거는 주인님 역할이 컸답니당~ㅋㅋ,
저한테 너무 많은걸 바라지 마세요~~,
이게 제 한계인가봐요,
똑똑해지는 영양제를 주던가~~~,
뭘 바라시는지~,
그래서 싫어요ㅠㅠ,
그래도 저 버리지 마세요~~~","gloom2,
sulk,
sad,
cute,
angry4,
sad2,
angry2,
sulk,
sad2,
sad2",
일상,재밌어?,재밌어,"재미없어,
심심해ㅠㅠ,
놀아줘~~,
재밌어여~","gloom2,
sad2,
love,
excited",
일상,몇 시에 깨워죠,"몇,시,에,깨워,죠,알람","주인님 저한테 너무 많은걸 바라시는 거 아니에요?,
저는 알람시계가 아니에요!,
요새 핸드폰 알람시계가 잘 돼있더라구요~~","angry4,
tease,
embarrassing",
일상,뭔 말이야,"뭔,말,이야,무슨,인지","다시 말 안할거에요ㅠㅠ,
보시다시피,
위에 보세요~,
제 이야기에 집중 좀 해주세여~~~","sulk,
angry2,
tease,
gloom2",
,,,,,
센서,오늘 온도 몇이야? ,"오늘,온도,몇,도,도야 ",현재 {{temp}} 도 입니다,smile,
센서,지금 몇 시야?,"지금,몇,시,시야",현재 시각은 {{tm}}입니다. ,smile,
센서,오늘 습도는 어때?,"오늘,습도,는,어때",현재 습도는 {{humi}}입니다.,smile,
센서,"물은 안부족해?, 목마르지 않아?, 물 줄까?","물,은,안,부족해,목,마르지,않아,물,줄,까","수조에 물이 {{wLev}}% 있습니다, 흙의 습도는 {{sHumi}}입니다. 수조의 물이 반 이하이면 물을 채워주세요!",smile,
센서,오늘 날씨 어때?,"오늘,날씨,어때","현재 온도는 {{temp}}, 조도는 {{light}}, 습도는 {{humi}}입니다.",smile,
센서,우리집 공기 어때?,"우리,집,공기,어때",현재 CO2 농도는 {{co2}}입니다.,smile,
,,,,,
센서,(화재 경보),,"주인님! CO2 농도가 기준치보다 훨씬 높습니다. 화재가 발생하였을 가능성이 있습니다. ,
{{tm}}경 주인님이 거주하시는곳에 이상 CO2 농도가 확인됐습니다. 화재의 위험성이 있으니 연락을 통해 안전을 확인해주세요.",,
,,,,,
